@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
4034,'2020/12/08 21:22:52:660',15,0.013139,-0.010554,0.00028,-0.021266,0.050036,0.038623,-0.021679,-1.560382,-1.086436,2
4035,'2020/12/08 21:22:52:713',15,0.023066,-0.004571,-0.018799,-0.001036,-0.012525,0.050112,-0.023555,-1.559502,-1.087546,2
4036,'2020/12/08 21:22:52:764',15,-0.015538,0.01255,0.001702,-0.055221,0.015041,0.021248,-0.02473,-1.559356,-1.088995,2
4037,'2020/12/08 21:22:52:816',15,-0.005265,0.00131,-0.008877,0.047794,-0.000698,-0.026065,-0.024907,-1.55878,-1.08944,2
4038,'2020/12/08 21:22:52:869',15,0.013904,-0.013615,0.012107,-0.027516,0.01049,0.02224,-0.025337,-1.558777,-1.089295,2
4039,'2020/12/08 21:22:52:922',15,0.0102,-0.000838,-0.007996,-0.01604,-0.026682,0.032736,-0.026812,-1.558448,-1.09088,2
4040,'2020/12/08 21:22:52:974',15,-0.00825,0.001368,-0.005819,-0.004931,-0.013769,0.002506,-0.026879,-1.559705,-1.091217,2
4041,'2020/12/08 21:22:53:027',15,0.000634,0.001185,-0.00883,-0.002135,-0.000046,-0.01724,-0.025948,-1.559237,-1.09264,2
4042,'2020/12/08 21:22:53:091',15,0.00808,0.003346,0.005075,0.008304,0.008836,-0.012332,-0.025221,-1.558927,-1.09203,2
4043,'2020/12/08 21:22:53:131',15,0.016369,0.001027,-0.002353,-0.00506,0.005982,0.004615,-0.025312,-1.55813,-1.093056,2
4044,'2020/12/08 21:22:53:188',15,0.015021,0.00299,-0.006822,0.037795,0.008138,-0.019316,-0.024738,-1.557778,-1.09212,2
4045,'2020/12/08 21:22:53:237',15,-0.003357,0.003013,0.000714,-0.054167,0.021144,-0.015449,-0.023967,-1.557047,-1.093171,2
4046,'2020/12/08 21:22:53:294',15,0.013083,-0.006882,-0.007065,0.022443,0.002822,0.024356,-0.024386,-1.556037,-1.093537,2
4047,'2020/12/08 21:22:53:342',15,0.008249,-0.005244,-0.002707,-0.055241,-0.030043,-0.022888,-0.024549,-1.556577,-1.094527,2
4048,'2020/12/08 21:22:53:396',15,-0.005298,0.013477,-0.002649,-0.062529,0.000473,-0.00428,-0.024047,-1.558121,-1.097338,2
4049,'2020/12/08 21:22:53:447',15,0.016533,-0.005833,-0.006233,0.016077,0.05237,0.045669,-0.02436,-1.55612,-1.097466,2
4050,'2020/12/08 21:22:53:502',15,-0.007529,0.001517,0.004353,-0.068409,0.081191,0.05365,-0.027783,-1.552367,-1.098591,2
4051,'2020/12/08 21:22:53:554',15,0.011786,0.006616,-0.015209,-0.011116,-0.03415,0.041963,-0.029933,-1.550716,-1.101347,2
4052,'2020/12/08 21:22:53:606',15,0.002015,-0.004467,0.009299,-0.003679,-0.023243,-0.021161,-0.030351,-1.552668,-1.100854,2
4053,'2020/12/08 21:22:53:658',15,0.00804,0.000922,-0.005266,0.017962,-0.03671,0.005393,-0.029569,-1.554708,-1.101376,2
4054,'2020/12/08 21:22:53:712',15,0.005055,0.000693,-0.001003,0.003458,0.018212,0.030804,-0.030439,-1.554808,-1.10032,2
4055,'2020/12/08 21:22:53:763',15,-0.000427,0.011907,-0.011719,0.00412,-0.013846,-0.014951,-0.031158,-1.554064,-1.100908,2
4056,'2020/12/08 21:22:53:816',15,0.014605,0.00316,-0.000824,0.059503,-0.061039,-0.012521,-0.029833,-1.556538,-1.09867,2
4057,'2020/12/08 21:22:53:870',15,0.009058,-0.003379,0.012873,0.007052,-0.001178,0.008802,-0.03059,-1.556512,-1.097091,2
4058,'2020/12/08 21:22:53:921',15,0.011623,-0.009719,0.017438,-0.013084,0.01947,0.01257,-0.030995,-1.556372,-1.097844,2
4059,'2020/12/08 21:22:53:974',15,0.007062,-0.006458,-0.007354,-0.051187,-0.019921,0.02864,-0.032068,-1.556735,-1.09933,2
4060,'2020/12/08 21:22:54:026',15,-0.00569,0.020202,-0.017703,-0.025621,-0.007878,-0.034682,-0.031026,-1.558036,-1.101714,2
4061,'2020/12/08 21:22:54:080',15,0.00886,0.008734,-0.020485,0.051899,-0.011266,0.009884,-0.030394,-1.558347,-1.100997,2
4062,'2020/12/08 21:22:54:131',15,0.008709,0.004919,0.001467,0.007427,-0.010881,0.015686,-0.03189,-1.557359,-1.098867,2
4063,'2020/12/08 21:22:54:189',15,0.006302,-0.004427,-0.003335,0.070828,-0.032625,-0.017465,-0.032341,-1.557599,-1.096958,2
4064,'2020/12/08 21:22:54:237',15,0.003891,-0.012791,0.028176,-0.060748,-0.034875,-0.007782,-0.030877,-1.560056,-1.095325,2
4065,'2020/12/08 21:22:54:289',15,-0.011143,0.002174,0.002373,0.019967,0.04455,0.026706,-0.031889,-1.559797,-1.097267,2
4066,'2020/12/08 21:22:54:342',15,0.00393,-0.003069,0.010447,-0.02944,0.001833,-0.010745,-0.031486,-1.559795,-1.096062,2
4067,'2020/12/08 21:22:54:395',15,0.014181,-0.003624,-0.003285,-0.036769,0.017395,0.020237,-0.031523,-1.55961,-1.098453,2
4068,'2020/12/08 21:22:54:449',15,0.016819,0.001974,-0.010318,0.006617,-0.018945,-0.000351,-0.032089,-1.5597,-1.098702,2
4069,'2020/12/08 21:22:54:499',15,0.007515,-0.002098,0.002021,-0.037879,-0.016635,0.0045,-0.031904,-1.560988,-1.0996,2
4070,'2020/12/08 21:22:54:554',15,0.004913,0.001808,-0.012702,0.002385,0.012358,-0.022129,-0.032286,-1.559903,-1.100885,2
4071,'2020/12/08 21:22:54:606',15,-0.003618,-0.002236,0.013175,-0.116642,-0.025326,-0.056479,-0.02995,-1.56163,-1.103207,2
4072,'2020/12/08 21:22:54:658',15,0.012677,-0.005912,-0.00429,0.022913,0.023546,0.012265,-0.028269,-1.561243,-1.107742,2
4073,'2020/12/08 21:22:54:720',15,0.003171,-0.004761,0.003072,-0.043367,0.019956,0.010952,-0.029469,-1.560135,-1.107691,2
4074,'2020/12/08 21:22:54:763',15,0.014208,0.000827,-0.01412,0.00657,-0.010898,0.007072,-0.029237,-1.559918,-1.110047,2
